Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
DCRA11,Títulos e Val. Mob.,730,"19,41%","16,61%",76,49.194.000,71.333,0,000,000,"0,00%","0,00%"
DEVA11,Títulos e Val. Mob.,2956,"20,13%","18,31%",31,415.167.000,575.256,0,000,000,"0,00%","0,00%"
DMAC11,Residencial,1300,"-758,50%","0,00%",261,2.029.400,0,0,000,000,"0,00%","0,00%"
DOMC11,Híbrido,43900,"0,78%","0,00%",413,1.072.830.000,0,2,"25.593,60",36483,"1,43%","13,30%"
DOVL11,Lajes Corporativas,66630,"13,90%","14,10%",101,44.246.300,0,2,"2.509,07",62002,"24,71%","36,00%"
DPRO11,Híbrido,619,"10,71%","10,52%",68,30.969.900,583,1,"1.884,18",24808,"13,17%","0,00%"
DRIT11,Lajes Corporativas,8397,"6,54%","13,39%",64,38.901.400,11.651,4,"6.467,82",66195,"10,23%","0,00%"
DVFF11,Títulos e Val. Mob.,616,"7,21%","13,41%",75,67.818.500,38.316,0,000,000,"0,00%","0,00%"
EDFO11,Lajes Corporativas,11800,"17,51%","15,11%",56,27.848.000,6.282,1,"78.346,70","15.420,59","19,68%","100,05%"
EDGA11,Lajes Corporativas,1652,"3,65%","5,60%",35,62.975.100,7.756,1,"2.508,34",25982,"10,36%","18,78%"
EGAF11,Títulos e Val. Mob.,9110,"13,61%","15,46%",92,285.317.000,783.465,0,000,000,"0,00%","0,00%"
ELDO11B,Shoppings,"1.104,31","10,22%","3,99%",66,869.375.000,0,1,"11.453,20","1.388,89","12,13%","2,00%"
EQIN11,Títulos e Val. Mob.,729,"15,38%","13,67%",82,122.098.000,31.693,0,000,000,"0,00%","0,00%"
EQIR11,Títulos e Val. Mob.,770,"12,78%","14,82%",82,84.001.700,141.467,0,000,000,"0,00%","0,00%"
ERCR11,Híbrido,"76.000,00","0,00%","0,00%",364,180.576.000,0,0,000,000,"0,00%","0,00%"
ERPA11,Lajes Corporativas,13316,"7,39%","7,53%",83,66.702.800,1.552,1,"19.728,00","1.637,00","8,30%","0,00%"
EURO11,Logística,22648,"10,39%","9,96%",69,86.953.800,25.981,7,73361,8464,"11,54%","0,00%"
EVBI11,Híbrido,950,"4,93%","5,59%",97,546.231.000,0,11,"6.565,94",34308,"5,23%","0,49%"
EXES11,Títulos e Val. Mob.,936,"10,83%","13,65%",96,66.507.000,144.469,0,000,000,"0,00%","0,00%"
FAED11,Outros,13300,"14,12%","14,18%",60,92.086.100,70.397,4,"1.993,91",29877,"14,98%","0,00%"
FAMB11,Lajes Corporativas,78501,"160,43%","48,86%",38,96.193.600,31.215,1,"1.433,48",6011,"4,19%","98,02%"
FATN11,Híbrido,7629,"9,27%","13,04%",78,323.054.000,843.767,54,"22.720,30","2.004,35","8,82%","2,14%"
FCFL11,Outros,11850,"8,70%","8,58%",96,411.670.000,226.976,1,"13.204,50","1.195,93","9,06%","0,00%"
FEXC11,Títulos e Val. Mob.,8350,"1,31%","0,00%",844,8.310.020.000,0,0,000,000,"0,00%","0,00%"
FFCI11,Lajes Corporativas,18203,"3,63%","0,00%",90,671.817.000,0,9,"17.089,90","1.216,83","7,12%","6,49%"
FGAA11,Híbrido,846,"14,31%","16,23%",88,381.389.000,1.049.920,0,000,000,"0,00%","0,00%"
FIGS11,Shoppings,4555,"11,51%","11,31%",60,129.818.000,180.752,2,"2.001,35",24476,"12,23%","6,77%"
FIIB11,Híbrido,50162,"8,53%","9,50%",106,343.610.000,192.656,11,62095,5943,"9,57%","0,00%"
FIIP11,Híbrido,14075,"12,59%","12,00%",71,130.498.000,371.232,7,"1.868,03",26673,"14,28%","0,00%"
FISC11,Lajes Corporativas,6462,"7,38%","8,26%",57,109.854.000,505,4,"8.712,96",84979,"9,75%","0,00%"
FISD11,Títulos e Val. Mob.,20332,"-21,06%","0,00%",341,218.079.000,0,1,000,000,"0,00%","0,00%"
FIXX11,Títulos e Val. Mob.,8578,"7,29%","0,00%",155,321.608.000,0,0,000,000,"0,00%","0,00%"
FLCR11,Títulos e Val. Mob.,9682,"14,53%","14,33%",104,72.793.500,34.599,0,000,000,"0,00%","0,00%"
FLFL11,Híbrido,10000,"2,73%","0,74%",70,345.426.000,0,1,"30.129,20","2.453,96","8,14%","12,50%"
FLMA11,Híbrido,13500,"9,52%","9,34%",61,186.390.000,95.694,2,"16.108,90","1.889,64","11,73%","0,00%"
FLRP11,Shoppings,"1.999,99","7,91%","8,04%",98,144.999.000,18.435,1,"2.836,33",24463,"8,63%","1,05%"
FMOF11,Lajes Corporativas,6500,"2,32%","3,63%",56,33.020.500,188.765,2,"1.956,50",16757,"8,56%","15,58%"
FPAB11,Lajes Corporativas,17210,"7,01%","7,42%",49,129.075.000,161.888,2,"3.531,27",37577,"10,64%","20,14%"
FPNG11,Lajes Corporativas,32618,"1,37%","0,00%",188,851.968.000,60,8,"60.090,40","1.576,33","2,62%","2,13%"
FRBR11,Títulos e Val. Mob.,10371,"9,23%","0,00%",108,1.324.330.000,0,0,000,000,"0,00%","0,00%"
FTCA11,Títulos e Val. Mob.,768,"21,26%","16,04%",73,34.252.400,54.478,0,000,000,"0,00%","0,00%"
FTCE11,Híbrido,"2.834,82","-0,32%","2,94%",100,3.597.430.000,0,79,"1.833,56",4768,"2,60%","0,01%"
FVBI11,Lajes Corporativas,15971,"0,00%","0,00%",0,0,0,1,000,63695,"0,00%","0,00%"
FVPQ11,Shoppings,5200,"13,58%","10,44%",30,145.608.000,91.730,1,"2.535,09",82066,"32,37%","11,52%"
FYTO11,Títulos e Val. Mob.,798,"15,40%","1,08%",82,121.945.000,82.548,0,000,000,"0,00%","0,00%"
FZDA11,Outros,12080,"0,79%","0,86%",70,187.240.000,2.983,6,214,003,"1,59%","0,00%"
FZDB11,Outros,12689,"3,17%","2,98%",75,456.804.000,6.190,16,333,013,"3,78%","0,00%"
GALG11,Híbrido,908,"7,99%","0,00%",98,1.338.920.000,0,4,32763,2764,"8,44%","0,00%"
GAME11,Outros,853,"26,97%","12,70%",91,185.081.000,393.964,0,000,000,"0,00%","0,00%"
GARE11,Híbrido,870,"8,34%","11,93%",96,1.282.890.000,4.878.620,4,19165,2764,"14,42%","0,00%"
GCFF11,Títulos e Val. Mob.,6930,"12,04%","0,00%",89,24.981.100,0,0,000,000,"0,00%","0,00%"
GCOI11,Híbrido,9899,"-2,75%","0,00%",101,11.185.900,635,5,"5.979,00",000,"0,00%","0,00%"
GCRA11,Títulos e Val. Mob.,5026,"16,67%","15,51%",59,87.998.500,128.653,0,000,000,"0,00%","0,00%"
GCRI11,Títulos e Val. Mob.,6084,"14,81%","16,83%",68,88.452.800,223.512,1,91388,000,"0,00%","0,00%"
GESE11B,Outros,"1.520,00","11,39%","0,00%",136,79.040.000,0,1,000,72537,"0,00%","0,00%"
GGRC11,Logística,965,"9,28%","11,75%",87,1.180.050.000,3.306.920,26,"1.753,42",15956,"9,10%","0,00%"
GLOG11,Logística,5889,"16,47%","9,65%",54,44.167.500,137.798,1,61379,13027,"21,22%","0,00%"
GLPF11,Logística,10385,"0,00%","1,55%",103,156.294.000,76.275,0,000,000,"0,00%","0,00%"
GRLV11,Logística,14550,"5,72%","0,00%",2438,156.199.000,0,1,000,18300,"0,00%","3,69%"
GRUL11,Logística,822,"6,79%","8,03%",85,203.034.000,350.734,0,000,000,"4,34%","0,00%"
GRWA11,Títulos e Val. Mob.,903,"9,81%","13,57%",90,24.909.100,7.788,0,000,000,"0,00%","0,00%"
GSFI11,Shoppings,782,"0,00%","0,00%",60,751.554.000,816.084,0,000,000,"0,00%","0,00%"
