Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
TJKB11,Lajes Corporativas,26000,"8,46%","13,05%",98,258.554.000,21.861,8,"6.606,17",70981,"10,74%","0,00%"
TMPS11,Títulos e Val. Mob.,7904,"12,44%","15,86%",86,77.377.600,269.610,0,000,000,"0,00%","0,00%"
TOPP11,Outros,7208,"3,38%","6,72%",73,326.396.000,485.734,2,"37.223,90",54110,"1,45%","6,88%"
TORD11,Híbrido,061,"0,80%","0,80%",10,21.381.300,34.160,0,000,000,"0,00%","0,00%"
TOUR11,Residencial,880,"0,00%","0,00%",0,0,0,3,000,000,"0,00%","0,00%"
TRBL11,Logística,6134,"8,49%","14,18%",64,474.716.000,513.127,6,"1.254,15",21870,"17,44%","0,00%"
TRNT11,Lajes Corporativas,9548,"6,02%","0,67%",54,375.767.000,14.696,1,"6.231,87",61069,"9,80%","34,21%"
TRXB11,Híbrido,12698,"7,69%","15,92%",120,433.491.000,81.890,13,"1.789,40",23987,"13,41%","0,00%"
TRXF11,Híbrido,10380,"-0,29%","12,16%",102,2.079.690.000,6.986.100,40,"2.978,84",22044,"7,40%","0,00%"
TRXL11,Híbrido,10338,"6,75%","0,00%",100,4.471.100.000,0,30,"3.406,27",18266,"5,36%","2,89%"
TRXY11,Híbrido,884,"1,50%","5,58%",95,31.909.900,396.793,0,000,000,"0,00%","0,00%"
TSER11,Lajes Corporativas,10100,"11,03%","11,34%",101,139.861.000,8,1,"2.818,31",24843,"8,81%","0,00%"
TSNC11,Híbrido,7270,"-6,35%","739.980,00%",91,79.008.900,16,1,"6.289,92",3213,"0,51%","100,00%"
TVRI11,Lajes Corporativas,8539,"11,14%","13,76%",84,1.359.380.000,1.076.260,61,"3.274,01",48118,"14,70%","2,83%"
UBSR11,Títulos e Val. Mob.,10250,"10,46%","0,00%",114,2.710.270.000,0,1,"52.387,30",000,"0,00%","100,02%"
URHF11,Títulos e Val. Mob.,9000,"23,04%","12,48%",94,9.937.530,515,0,000,000,"0,00%","0,00%"
URPR11,Outros,5498,"12,98%","20,01%",55,645.130.000,1.153.490,0,000,000,"0,00%","0,00%"
VCJR11,Títulos e Val. Mob.,8540,"14,10%","12,79%",92,1.257.430.000,1.420.380,0,000,000,"0,00%","0,00%"
VCRA11,Títulos e Val. Mob.,6831,"19,92%","16,99%",66,313.811.000,770.544,0,000,000,"0,00%","0,00%"
VCRI11,Títulos e Val. Mob.,710,"14,20%","15,29%",76,126.190.000,143.325,0,000,000,"0,00%","0,00%"
VCRR11,Logística,5830,"12,65%","12,06%",46,116.600.000,213.123,4,"2.063,70",39865,"19,32%","0,00%"
VERE11,Outros,44576,"6,32%","6,37%",89,284.326.000,0,3,"2.791,48",32938,"11,80%","28,37%"
VGHF11,Títulos e Val. Mob.,759,"10,52%","13,93%",90,1.250.240.000,2.814.140,0,000,000,"0,00%","0,00%"
VGIA11,Títulos e Val. Mob.,864,"17,82%","15,45%",90,746.972.000,1.557.480,0,000,000,"0,00%","0,00%"
VGII11,Outros,10141,"10,41%","10,46%",111,52.618.100,0,0,000,000,"0,00%","0,00%"
VGIP11,Títulos e Val. Mob.,8015,"12,74%","12,63%",90,944.748.000,1.265.110,0,000,000,"0,00%","0,00%"
VGIR11,Títulos e Val. Mob.,919,"11,20%","13,85%",94,1.342.670.000,5.581.310,0,000,000,"0,00%","0,00%"
VGRI11,Títulos e Val. Mob.,800,"12,35%","21,70%",76,280.174.000,624.607,5,"4.891,68",69136,"14,13%","7,75%"
VHFA11,Outros,1008,"13,42%","2,40%",99,80.561.000,0,0,000,000,"0,00%","0,00%"
VIFI11,Títulos e Val. Mob.,753,"11,66%","10,51%",94,60.911.600,0,0,000,000,"0,00%","0,00%"
VILG11,Logística,8380,"8,84%","8,97%",74,1.256.780.000,1.664.800,15,"2.205,88",23595,"10,70%","3,04%"
VINO11,Lajes Corporativas,519,"11,08%","12,25%",50,429.868.000,468.606,10,"6.394,40","1.081,14","16,91%","8,49%"
VISC11,Shoppings,10218,"8,90%","9,83%",82,2.945.710.000,3.906.210,30,"2.784,40",26738,"9,60%","6,55%"
VIUR11,Outros,543,"14,92%","14,63%",62,146.318.000,438.884,7,"2.113,69",32787,"15,51%","3,14%"
VJFD11,Híbrido,15502,"5,98%","2,94%",95,755.898.000,0,39,78988,5004,"6,33%","0,00%"
VLOL11,Lajes Corporativas,9800,"6,78%","0,00%",88,174.913.000,0,0,000,000,"0,00%","0,00%"
VOTS11,Títulos e Val. Mob.,7525,"13,36%","11,37%",80,62.300.500,4.137,0,000,000,"0,00%","0,00%"
VPSI11,Shoppings,2500,"9,89%","8,88%",70,201.797.000,1,16,"1.640,38",16716,"10,19%","0,00%"
VRTA11,Títulos e Val. Mob.,8371,"12,26%","12,05%",96,1.305.240.000,1.470.900,0,000,000,"0,00%","0,00%"
VRTM11,Híbrido,703,"8,18%","15,48%",75,330.208.000,374.917,23,"4.010,91",000,"0,00%","0,00%"
VSEC11,Títulos e Val. Mob.,021,"700,84%","0,00%",7,13.174,0,0,000,000,"0,00%","0,00%"
VSHO11,Shoppings,6891,"11,70%","10,99%",66,144.628.000,135.276,3,"1.633,37",37571,"23,00%","10,21%"
VSLH11,Outros,269,"10,28%","16,16%",27,80.334.400,135.390,0,000,000,"0,00%","0,00%"
VTLT11,Logística,8740,"12,92%","12,77%",83,184.851.000,73.383,1,71495,10592,"14,81%","0,00%"
VTPL11,Híbrido,7210,"-0,69%","0,00%",72,99.948.000,0,1,"2.748,49",000,"0,00%","0,00%"
VVCR11,Títulos e Val. Mob.,1011,"10,14%","10,87%",97,75.909.200,638.460,0,000,000,"0,00%","0,00%"
VVMR11,Híbrido,8092,"5,20%","9,09%",73,228.452.000,502.664,5,"7.514,71",60690,"8,08%","2,83%"
VVPR11,Híbrido,10150,"8,99%","0,00%",104,234.036.000,0,6,"5.334,39",52670,"9,87%","0,00%"
VVRI11,Híbrido,8509,"8,42%","11,51%",89,68.300.300,93.581,2,"2.543,99",47861,"18,81%","0,00%"
VXXV11,Outros,70000,"-0,97%","34,13%",101,193.512.000,433.044,1,8218,149,"1,81%","90,00%"
WHGR11,Híbrido,854,"12,48%","13,83%",90,263.992.000,227.578,1,"5.475,36",000,"0,00%","0,00%"
WPLZ11,Shoppings,5059,"8,23%","8,13%",76,58.358.000,5.533,1,"1.542,63",14323,"9,28%","8,35%"
WSEC11,Títulos e Val. Mob.,624,"16,33%","12,72%",61,15.328.600,5.320,0,000,000,"0,00%","0,00%"
WTSP11,Híbrido,5695,"23,54%","20,20%",68,70.536.700,3.273,1,"5.720,89",32292,"5,64%","3,51%"
XPCA11,Títulos e Val. Mob.,741,"14,41%","12,99%",78,337.326.000,844.852,0,000,000,"0,00%","0,00%"
XPCI11,Títulos e Val. Mob.,8012,"11,92%","12,59%",92,697.168.000,1.406.050,0,000,000,"0,00%","0,00%"
XPCM11,Lajes Corporativas,690,"-20,71%","0,00%",26,16.660.500,12.365,1,84530,3193,"3,78%","63,00%"
XPHT11,Hotel,12300,"3,07%","0,00%",178,1.133.880.000,0,14,"19.789,30",69237,"3,50%","0,00%"
XPIN11,Outros,6895,"9,03%","11,88%",66,493.022.000,322.858,81,"1.923,20",24475,"12,73%","3,09%"
XPLG11,Logística,9950,"7,45%","9,45%",93,3.102.010.000,3.475.260,17,"2.922,56",24857,"8,51%","1,34%"
XPML11,Shoppings,10479,"9,01%","10,44%",89,5.943.770.000,12.832.800,23,"5.526,89",43188,"7,81%","3,80%"
XPPR11,Outros,1254,"6,87%","5,00%",31,91.744.800,0,2,"2.550,47",40443,"15,86%","45,23%"
XPSF11,Títulos e Val. Mob.,598,"14,01%","13,67%",80,258.947.000,579.878,0,000,000,"0,00%","0,00%"
XTED11,Lajes Corporativas,882,"9,35%","0,00%",61,87.318.000,0,4,"3.727,05",36552,"9,81%","0,00%"
YCHY11,Híbrido,"1.000,00","-5,29%","0,00%",989,4.235.040.000,0,12,"12.634,40",9919,"0,79%","0,00%"
YUFI11,Residencial,5950,"4,23%","4,64%",56,29.312.700,0,38,"1.651,22",24006,"14,54%","0,00%"
ZAGH11,Híbrido,1040,"3,58%","7,09%",114,92.473.300,3.889,1,"2.631,41",2001,"0,76%","0,00%"
ZAVC11,Títulos e Val. Mob.,927,"10,16%","15,96%",93,28.712.400,21.360,0,000,000,"0,00%","0,00%"
ZAVI11,Híbrido,9365,"17,27%","15,31%",71,109.882.000,215.385,10,"1.456,72",21940,"15,06%","0,00%"
ZIFI11,Híbrido,59475,"-3,68%","0,00%",34,28.241.700,2.200,0,000,000,"0,00%","0,00%"
